decision_id,category,decision,advisors_present,num_advisors,votes_json,yes_votes,no_votes,abstain_votes,board_recommendation,final_choice,user_aligned_with_board,outcome,satisfaction_score,days_to_outcome
DEC-0089,Creative,Should I take the commercial project for money even if it's not my passion?,"Dad Voice, Inner Critic, CFO, Spouse/Partner, Therapist",5,"{""Dad Voice"": ""Abstain"", ""Inner Critic"": ""No"", ""CFO"": ""Yes"", ""Spouse/Partner"": ""No"", ""Therapist"": ""Yes""}",2,2,1,Split,Did not proceed (aligned with majority),True,Successful,5,75.0
DEC-0090,Lifestyle,Should I get a roommate to split costs?,"Builder, CFO, Adventurer",3,"{""Builder"": ""No"", ""CFO"": ""Yes"", ""Adventurer"": ""Yes""}",2,1,0,Yes,Proceeded (aligned with majority),True,Successful,5,75.0
DEC-0091,Personal Growth,Should I learn a new language or a new instrument?,"Builder, Dad Voice, CFO",3,"{""Builder"": ""No"", ""Dad Voice"": ""Yes"", ""CFO"": ""No""}",1,2,0,No,Did not proceed (aligned with majority),True,Successful,4,68.0
DEC-0092,Career,Should I start freelancing on the side?,"Adventurer, Spouse/Partner, 80-Year-Old You, Inner Critic",4,"{""Adventurer"": ""Yes"", ""Spouse/Partner"": ""Yes"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""No""}",3,1,0,Yes,Proceeded (aligned with majority),True,Successful,4,20.0
DEC-0093,Creative,Should I apply to the residency program abroad?,"Therapist, Adventurer, CFO, Future Self",4,"{""Therapist"": ""Abstain"", ""Adventurer"": ""Yes"", ""CFO"": ""No"", ""Future Self"": ""No""}",1,2,1,No,Did not proceed (aligned with majority),True,Unsuccessful,3,12.0
DEC-0094,Health,Should I join the gym or exercise at home?,"CFO, Chaos Goblin, Dad Voice, Future Self, 80-Year-Old You",5,"{""CFO"": ""Abstain"", ""Chaos Goblin"": ""No"", ""Dad Voice"": ""No"", ""Future Self"": ""No"", ""80-Year-Old You"": ""Yes""}",1,3,1,No,Proceeded anyway,False,Successful,4,82.0
DEC-0095,Health,Should I join the gym or exercise at home?,"Therapist, Adventurer, Chaos Goblin, 80-Year-Old You, CFO",5,"{""Therapist"": ""Yes"", ""Adventurer"": ""Yes"", ""Chaos Goblin"": ""No"", ""80-Year-Old You"": ""Yes"", ""CFO"": ""No""}",3,2,0,Yes,Proceeded (aligned with majority),True,Successful,4,68.0
DEC-0096,Lifestyle,Should I move to a new city where I know no one?,"Inner Critic, Future Self, Therapist, Builder, 80-Year-Old You",5,"{""Inner Critic"": ""Abstain"", ""Future Self"": ""No"", ""Therapist"": ""Yes"", ""Builder"": ""Yes"", ""80-Year-Old You"": ""Yes""}",3,1,1,Yes,Proceeded (aligned with majority),True,Successful,5,12.0
DEC-0097,Finance,Should I take the early retirement package?,"80-Year-Old You, Dad Voice, Inner Critic, Therapist, Spouse/Partner",5,"{""80-Year-Old You"": ""No"", ""Dad Voice"": ""Abstain"", ""Inner Critic"": ""No"", ""Therapist"": ""Abstain"", ""Spouse/Partner"": ""Yes""}",1,2,2,No,Did not proceed (aligned with majority),True,Mixed,3,38.0
DEC-0098,Personal Growth,Should I start writing the book I've been thinking about?,"Inner Critic, Adventurer, Spouse/Partner, Future Self",4,"{""Inner Critic"": ""No"", ""Adventurer"": ""Yes"", ""Spouse/Partner"": ""Abstain"", ""Future Self"": ""Yes""}",2,1,1,Yes,Delayed decision,False,Pending,4,
DEC-0099,Personal Growth,Should I delete social media for a month?,"Dad Voice, Inner Critic, CFO, Future Self",4,"{""Dad Voice"": ""Abstain"", ""Inner Critic"": ""No"", ""CFO"": ""Yes"", ""Future Self"": ""No""}",1,2,1,No,Did not proceed (aligned with majority),True,Pending,3,
DEC-0100,Creative,Should I self-publish or try traditional publishing?,"Adventurer, Inner Critic, Builder, CFO, Dad Voice",5,"{""Adventurer"": ""No"", ""Inner Critic"": ""Abstain"", ""Builder"": ""No"", ""CFO"": ""No"", ""Dad Voice"": ""No""}",0,4,1,No,Chose compromise,False,Mixed,4,89.0
DEC-0101,Personal Growth,Should I start writing the book I've been thinking about?,"Therapist, Adventurer, Dad Voice, CFO, Spouse/Partner",5,"{""Therapist"": ""Abstain"", ""Adventurer"": ""Yes"", ""Dad Voice"": ""No"", ""CFO"": ""No"", ""Spouse/Partner"": ""Abstain""}",1,2,2,No,Chose compromise,False,Mixed,3,21.0
DEC-0102,Relationships,Should I try couples therapy or work on things ourselves?,"Chaos Goblin, Builder, Adventurer, Inner Critic, Spouse/Partner",5,"{""Chaos Goblin"": ""Yes"", ""Builder"": ""No"", ""Adventurer"": ""No"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Abstain""}",1,3,1,No,Did not proceed (aligned with majority),True,Mixed,3,85.0
DEC-0103,Lifestyle,Should I get a roommate to split costs?,"Therapist, CFO, Dad Voice, Builder, Adventurer",5,"{""Therapist"": ""Abstain"", ""CFO"": ""No"", ""Dad Voice"": ""Abstain"", ""Builder"": ""Yes"", ""Adventurer"": ""Abstain""}",1,1,3,Split,Proceeded anyway,False,Successful,5,67.0
DEC-0104,Creative,Should I take the commercial project for money even if it's not my passion?,"Inner Critic, CFO, Therapist, Chaos Goblin, Spouse/Partner",5,"{""Inner Critic"": ""Yes"", ""CFO"": ""No"", ""Therapist"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Spouse/Partner"": ""Abstain""}",2,1,2,Yes,Chose alternative path,False,Successful,4,55.0
DEC-0105,Relationships,Should I confront my roommate about their behavior?,"Future Self, 80-Year-Old You, Spouse/Partner, Chaos Goblin, Therapist",5,"{""Future Self"": ""No"", ""80-Year-Old You"": ""Yes"", ""Spouse/Partner"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Therapist"": ""Abstain""}",2,1,2,Yes,Delayed decision,False,Successful,5,76.0
DEC-0106,Health,Should I try meditation even though I'm skeptical?,"Chaos Goblin, Inner Critic, Dad Voice, Adventurer",4,"{""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""Abstain"", ""Dad Voice"": ""Yes"", ""Adventurer"": ""Yes""}",2,0,2,Yes,Chose alternative path,False,Pending,3,
DEC-0107,Career,Should I accept the lateral move to a different department?,"Adventurer, Spouse/Partner, Dad Voice, Chaos Goblin, 80-Year-Old You",5,"{""Adventurer"": ""Yes"", ""Spouse/Partner"": ""Abstain"", ""Dad Voice"": ""Yes"", ""Chaos Goblin"": ""Yes"", ""80-Year-Old You"": ""Abstain""}",3,0,2,Yes,Proceeded (aligned with majority),True,Mixed,3,6.0
DEC-0108,Health,Should I commit to the early morning workout routine?,"Inner Critic, Therapist, Future Self, 80-Year-Old You",4,"{""Inner Critic"": ""Abstain"", ""Therapist"": ""Yes"", ""Future Self"": ""Yes"", ""80-Year-Old You"": ""Abstain""}",2,0,2,Yes,Chose alternative path,False,Mixed,4,20.0
DEC-0109,Career,Should I accept the remote role or stay hybrid?,"Builder, 80-Year-Old You, Inner Critic, Spouse/Partner",4,"{""Builder"": ""Yes"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Abstain""}",2,1,1,Yes,Proceeded (aligned with majority),True,Mixed,3,17.0
DEC-0110,Creative,Should I apply to the residency program abroad?,"Spouse/Partner, Adventurer, CFO",3,"{""Spouse/Partner"": ""Yes"", ""Adventurer"": ""Yes"", ""CFO"": ""No""}",2,1,0,Yes,Proceeded (aligned with majority),True,Unsuccessful,2,71.0
DEC-0111,Career,Should I apply for the leadership role I feel underqualified for?,"Dad Voice, Future Self, Builder, 80-Year-Old You, Inner Critic",5,"{""Dad Voice"": ""Yes"", ""Future Self"": ""Yes"", ""Builder"": ""No"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""No""}",3,2,0,Yes,Proceeded (aligned with majority),True,Successful,5,72.0
DEC-0112,Personal Growth,Should I join the mastermind group?,"Inner Critic, CFO, Chaos Goblin, 80-Year-Old You, Future Self",5,"{""Inner Critic"": ""Yes"", ""CFO"": ""No"", ""Chaos Goblin"": ""Yes"", ""80-Year-Old You"": ""No"", ""Future Self"": ""Yes""}",3,2,0,Yes,Proceeded (aligned with majority),True,Successful,5,16.0
DEC-0113,Creative,Should I enter the competition even though I might not win?,"Therapist, Builder, CFO, Inner Critic, Spouse/Partner",5,"{""Therapist"": ""Yes"", ""Builder"": ""No"", ""CFO"": ""Abstain"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Abstain""}",1,2,2,No,Did not proceed (aligned with majority),True,Successful,3,61.0
DEC-0114,Career,Should I accept the remote role or stay hybrid?,"CFO, Future Self, Dad Voice",3,"{""CFO"": ""No"", ""Future Self"": ""Yes"", ""Dad Voice"": ""No""}",1,2,0,No,Chose compromise,False,Mixed,2,85.0
DEC-0115,Finance,Should I lend money to my friend who asked?,"CFO, Therapist, Spouse/Partner, Dad Voice",4,"{""CFO"": ""Abstain"", ""Therapist"": ""No"", ""Spouse/Partner"": ""No"", ""Dad Voice"": ""No""}",0,3,1,No,Chose compromise,False,Mixed,2,66.0
DEC-0116,Relationships,Should I say yes to being a bridesmaid when I can't afford it?,"Spouse/Partner, Adventurer, Chaos Goblin, CFO, Future Self",5,"{""Spouse/Partner"": ""No"", ""Adventurer"": ""No"", ""Chaos Goblin"": ""No"", ""CFO"": ""No"", ""Future Self"": ""Yes""}",1,4,0,No,Did not proceed (aligned with majority),True,Successful,5,57.0
DEC-0117,Finance,Should I sell my stocks during this market dip?,"Therapist, 80-Year-Old You, CFO, Dad Voice",4,"{""Therapist"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""CFO"": ""Abstain"", ""Dad Voice"": ""Yes""}",2,0,2,Yes,Delayed decision,False,Pending,3,
DEC-0118,Lifestyle,Should I get a roommate to split costs?,"Inner Critic, Builder, CFO, Adventurer",4,"{""Inner Critic"": ""Abstain"", ""Builder"": ""No"", ""CFO"": ""No"", ""Adventurer"": ""Yes""}",1,2,1,No,Proceeded anyway,False,Mixed,3,75.0
DEC-0119,Career,Should I leave my stable job to travel for a year?,"80-Year-Old You, Therapist, Inner Critic",3,"{""80-Year-Old You"": ""Yes"", ""Therapist"": ""Yes"", ""Inner Critic"": ""Yes""}",3,0,0,Yes,Proceeded (aligned with majority),True,Successful,4,17.0
DEC-0120,Career,Should I accept the lateral move to a different department?,"80-Year-Old You, Inner Critic, Chaos Goblin",3,"{""80-Year-Old You"": ""Abstain"", ""Inner Critic"": ""Yes"", ""Chaos Goblin"": ""Abstain""}",1,0,2,Yes,Chose alternative path,False,Successful,5,65.0
DEC-0121,Finance,Should I buy a house now or wait for prices to drop?,"Adventurer, 80-Year-Old You, Builder",3,"{""Adventurer"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Builder"": ""Yes""}",2,0,1,Yes,Chose alternative path,False,Unsuccessful,1,47.0
DEC-0122,Lifestyle,Should I move to a new city where I know no one?,"Inner Critic, Spouse/Partner, Dad Voice, Chaos Goblin, Adventurer",5,"{""Inner Critic"": ""No"", ""Spouse/Partner"": ""Abstain"", ""Dad Voice"": ""No"", ""Chaos Goblin"": ""Abstain"", ""Adventurer"": ""Yes""}",1,2,2,No,Proceeded anyway,False,Successful,3,66.0
DEC-0123,Career,Should I start freelancing on the side?,"Dad Voice, Therapist, 80-Year-Old You, Chaos Goblin, Spouse/Partner",5,"{""Dad Voice"": ""Yes"", ""Therapist"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Chaos Goblin"": ""Yes"", ""Spouse/Partner"": ""No""}",3,1,1,Yes,Proceeded (aligned with majority),True,Successful,4,76.0
DEC-0124,Career,Should I pivot from engineering to product management?,"Adventurer, 80-Year-Old You, Inner Critic, Therapist",4,"{""Adventurer"": ""Yes"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""Abstain"", ""Therapist"": ""No""}",2,1,1,Yes,Proceeded (aligned with majority),True,Unsuccessful,1,67.0
DEC-0125,Creative,Should I quit my day job to pursue art full-time?,"Inner Critic, Builder, Spouse/Partner",3,"{""Inner Critic"": ""Yes"", ""Builder"": ""Yes"", ""Spouse/Partner"": ""No""}",2,1,0,Yes,Proceeded (aligned with majority),True,Pending,4,
DEC-0126,Creative,Should I share my creative work publicly?,"Future Self, Inner Critic, Spouse/Partner, Adventurer",4,"{""Future Self"": ""No"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Yes"", ""Adventurer"": ""Yes""}",2,2,0,Split,Did not proceed (aligned with majority),True,Mixed,2,82.0
DEC-0127,Lifestyle,Should I take the sabbatical and travel?,"Therapist, CFO, Inner Critic, 80-Year-Old You, Chaos Goblin",5,"{""Therapist"": ""Abstain"", ""CFO"": ""Abstain"", ""Inner Critic"": ""No"", ""80-Year-Old You"": ""Yes"", ""Chaos Goblin"": ""No""}",1,2,2,No,Did not proceed (aligned with majority),True,Successful,5,72.0
DEC-0128,Relationships,Should I confront my roommate about their behavior?,"80-Year-Old You, Future Self, Chaos Goblin, Builder",4,"{""80-Year-Old You"": ""Yes"", ""Future Self"": ""No"", ""Chaos Goblin"": ""Yes"", ""Builder"": ""Yes""}",3,1,0,Yes,Proceeded (aligned with majority),True,Successful,3,43.0
DEC-0129,Lifestyle,Should I move back to my hometown?,"Chaos Goblin, Builder, Therapist, Spouse/Partner",4,"{""Chaos Goblin"": ""No"", ""Builder"": ""Yes"", ""Therapist"": ""No"", ""Spouse/Partner"": ""Yes""}",2,2,0,Split,Proceeded anyway,False,Successful,4,52.0
DEC-0130,Creative,Should I enter the competition even though I might not win?,"Future Self, Builder, Therapist, Spouse/Partner",4,"{""Future Self"": ""No"", ""Builder"": ""Yes"", ""Therapist"": ""Yes"", ""Spouse/Partner"": ""Abstain""}",2,1,1,Yes,Proceeded (aligned with majority),True,Pending,3,
DEC-0131,Career,Should I confront my manager about the toxic team culture?,"80-Year-Old You, Future Self, Inner Critic, Spouse/Partner, Builder",5,"{""80-Year-Old You"": ""Yes"", ""Future Self"": ""Yes"", ""Inner Critic"": ""No"", ""Spouse/Partner"": ""Abstain"", ""Builder"": ""No""}",2,2,1,Split,Proceeded anyway,False,Successful,3,20.0
DEC-0132,Relationships,Should I attend the wedding of someone who hurt me?,"Chaos Goblin, Therapist, CFO, Future Self",4,"{""Chaos Goblin"": ""Yes"", ""Therapist"": ""No"", ""CFO"": ""No"", ""Future Self"": ""Yes""}",2,2,0,Split,Did not proceed (aligned with majority),True,Mixed,3,82.0
DEC-0133,Lifestyle,Should I renovate the kitchen or move to a new place?,"Builder, Adventurer, Chaos Goblin",3,"{""Builder"": ""Yes"", ""Adventurer"": ""Abstain"", ""Chaos Goblin"": ""No""}",1,1,1,Split,Did not proceed (aligned with majority),True,Successful,5,54.0
DEC-0134,Personal Growth,Should I start writing the book I've been thinking about?,"CFO, Builder, Therapist",3,"{""CFO"": ""Abstain"", ""Builder"": ""No"", ""Therapist"": ""Yes""}",1,1,1,Split,Chose compromise,False,Successful,5,43.0
DEC-0135,Finance,Should I max out my 401k or save for a down payment?,"Spouse/Partner, Therapist, 80-Year-Old You, Inner Critic, Dad Voice",5,"{""Spouse/Partner"": ""Yes"", ""Therapist"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""No"", ""Dad Voice"": ""Abstain""}",2,1,2,Yes,Proceeded (aligned with majority),True,Unsuccessful,2,83.0
DEC-0136,Career,Should I leave my stable job to travel for a year?,"Spouse/Partner, Future Self, CFO, Dad Voice",4,"{""Spouse/Partner"": ""No"", ""Future Self"": ""Yes"", ""CFO"": ""No"", ""Dad Voice"": ""Abstain""}",1,2,1,No,Did not proceed (aligned with majority),True,Unsuccessful,1,76.0
DEC-0137,Lifestyle,Should I move to a new city where I know no one?,"CFO, 80-Year-Old You, Therapist",3,"{""CFO"": ""No"", ""80-Year-Old You"": ""Yes"", ""Therapist"": ""Yes""}",2,1,0,Yes,Proceeded (aligned with majority),True,Mixed,3,10.0
DEC-0138,Lifestyle,Should I downsize my apartment to save money?,"Future Self, Inner Critic, Therapist, 80-Year-Old You, Dad Voice",5,"{""Future Self"": ""Yes"", ""Inner Critic"": ""No"", ""Therapist"": ""Yes"", ""80-Year-Old You"": ""Abstain"", ""Dad Voice"": ""Yes""}",3,1,1,Yes,Proceeded (aligned with majority),True,Unsuccessful,2,85.0
DEC-0139,Creative,Should I apply to the residency program abroad?,"80-Year-Old You, Future Self, Inner Critic, Builder, Spouse/Partner",5,"{""80-Year-Old You"": ""Yes"", ""Future Self"": ""Abstain"", ""Inner Critic"": ""Abstain"", ""Builder"": ""No"", ""Spouse/Partner"": ""No""}",1,2,2,No,Did not proceed (aligned with majority),True,Mixed,3,74.0
DEC-0140,Creative,Should I apply to the residency program abroad?,"Adventurer, Inner Critic, Chaos Goblin, Future Self",4,"{""Adventurer"": ""No"", ""Inner Critic"": ""Abstain"", ""Chaos Goblin"": ""Abstain"", ""Future Self"": ""Yes""}",1,1,2,Split,Proceeded anyway,False,Unsuccessful,1,59.0
DEC-0141,Lifestyle,Should I commit to minimalism and declutter everything?,"80-Year-Old You, Future Self, Inner Critic, Chaos Goblin, Spouse/Partner",5,"{""80-Year-Old You"": ""Yes"", ""Future Self"": ""No"", ""Inner Critic"": ""No"", ""Chaos Goblin"": ""Yes"", ""Spouse/Partner"": ""No""}",2,3,0,No,Proceeded anyway,False,Successful,5,31.0
DEC-0142,Lifestyle,Should I buy the expensive thing that would make me happy?,"Adventurer, Chaos Goblin, Therapist",3,"{""Adventurer"": ""No"", ""Chaos Goblin"": ""Yes"", ""Therapist"": ""Abstain""}",1,1,1,Split,Proceeded anyway,False,Mixed,4,55.0
DEC-0143,Lifestyle,Should I take the sabbatical and travel?,"80-Year-Old You, Future Self, Spouse/Partner, Builder",4,"{""80-Year-Old You"": ""Yes"", ""Future Self"": ""Yes"", ""Spouse/Partner"": ""Abstain"", ""Builder"": ""No""}",2,1,1,Yes,Proceeded (aligned with majority),True,Mixed,4,7.0
DEC-0144,Finance,Should I max out my 401k or save for a down payment?,"CFO, Chaos Goblin, 80-Year-Old You",3,"{""CFO"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""80-Year-Old You"": ""Abstain""}",1,0,2,Yes,Proceeded (aligned with majority),True,Successful,4,80.0
DEC-0145,Career,Should I pursue the overseas assignment?,"Spouse/Partner, 80-Year-Old You, Inner Critic, Adventurer",4,"{""Spouse/Partner"": ""Abstain"", ""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""Yes"", ""Adventurer"": ""Yes""}",3,0,1,Yes,Proceeded (aligned with majority),True,Mixed,3,26.0
DEC-0146,Career,Should I accept the lateral move to a different department?,"Spouse/Partner, Future Self, Builder, Dad Voice",4,"{""Spouse/Partner"": ""Abstain"", ""Future Self"": ""Abstain"", ""Builder"": ""Abstain"", ""Dad Voice"": ""No""}",0,1,3,No,Proceeded anyway,False,Unsuccessful,1,20.0
DEC-0147,Health,Should I train for a marathon even though I've never run?,"CFO, Spouse/Partner, Chaos Goblin",3,"{""CFO"": ""Yes"", ""Spouse/Partner"": ""Abstain"", ""Chaos Goblin"": ""Abstain""}",1,0,2,Yes,Proceeded (aligned with majority),True,Mixed,2,86.0
DEC-0148,Relationships,Should I attend the wedding of someone who hurt me?,"CFO, Adventurer, 80-Year-Old You",3,"{""CFO"": ""No"", ""Adventurer"": ""Yes"", ""80-Year-Old You"": ""Yes""}",2,1,0,Yes,Delayed decision,False,Unsuccessful,1,18.0
DEC-0149,Lifestyle,Should I take the sabbatical and travel?,"Therapist, Future Self, Inner Critic, Adventurer",4,"{""Therapist"": ""No"", ""Future Self"": ""Yes"", ""Inner Critic"": ""Abstain"", ""Adventurer"": ""Yes""}",2,1,1,Yes,Chose alternative path,False,Pending,4,
DEC-0150,Creative,Should I collaborate with someone whose style differs from mine?,"Dad Voice, Adventurer, 80-Year-Old You",3,"{""Dad Voice"": ""No"", ""Adventurer"": ""Yes"", ""80-Year-Old You"": ""Abstain""}",1,1,1,Split,Proceeded anyway,False,Unsuccessful,3,28.0
DEC-0151,Personal Growth,Should I commit to journaling daily?,"Builder, Therapist, 80-Year-Old You",3,"{""Builder"": ""Yes"", ""Therapist"": ""Yes"", ""80-Year-Old You"": ""Yes""}",3,0,0,Yes,Proceeded (aligned with majority),True,Mixed,4,61.0
DEC-0152,Finance,Should I refinance my mortgage at current rates?,"80-Year-Old You, CFO, Dad Voice, Therapist",4,"{""80-Year-Old You"": ""Abstain"", ""CFO"": ""No"", ""Dad Voice"": ""No"", ""Therapist"": ""Abstain""}",0,2,2,No,Did not proceed (aligned with majority),True,Mixed,2,47.0
DEC-0153,Lifestyle,Should I move to a new city where I know no one?,"CFO, Adventurer, 80-Year-Old You, Dad Voice, Builder",5,"{""CFO"": ""No"", ""Adventurer"": ""No"", ""80-Year-Old You"": ""No"", ""Dad Voice"": ""Abstain"", ""Builder"": ""No""}",0,4,1,No,Did not proceed (aligned with majority),True,Pending,3,
DEC-0154,Creative,Should I pivot my creative direction entirely?,"Adventurer, Inner Critic, Builder, Therapist",4,"{""Adventurer"": ""Abstain"", ""Inner Critic"": ""Yes"", ""Builder"": ""Abstain"", ""Therapist"": ""Yes""}",2,0,2,Yes,Proceeded (aligned with majority),True,Pending,4,
DEC-0155,Creative,Should I quit my day job to pursue art full-time?,"80-Year-Old You, Inner Critic, Chaos Goblin, Spouse/Partner",4,"{""80-Year-Old You"": ""Yes"", ""Inner Critic"": ""No"", ""Chaos Goblin"": ""No"", ""Spouse/Partner"": ""Yes""}",2,2,0,Split,Proceeded anyway,False,Pending,4,
DEC-0156,Career,Should I tell my boss I'm looking for other opportunities?,"Chaos Goblin, CFO, Future Self, Adventurer, Inner Critic",5,"{""Chaos Goblin"": ""Yes"", ""CFO"": ""Yes"", ""Future Self"": ""No"", ""Adventurer"": ""No"", ""Inner Critic"": ""Yes""}",3,2,0,Yes,Chose alternative path,False,Mixed,2,30.0
DEC-0157,Creative,Should I quit my day job to pursue art full-time?,"Inner Critic, Spouse/Partner, Future Self",3,"{""Inner Critic"": ""Abstain"", ""Spouse/Partner"": ""No"", ""Future Self"": ""Yes""}",1,1,1,Split,Did not proceed (aligned with majority),True,Mixed,3,41.0
DEC-0158,Finance,Should I co-sign my sibling's loan?,"Future Self, Chaos Goblin, Spouse/Partner, Builder, CFO",5,"{""Future Self"": ""No"", ""Chaos Goblin"": ""No"", ""Spouse/Partner"": ""No"", ""Builder"": ""Yes"", ""CFO"": ""No""}",1,4,0,No,Did not proceed (aligned with majority),True,Successful,4,85.0
DEC-0159,Lifestyle,Should I get a roommate to split costs?,"Therapist, Chaos Goblin, Inner Critic, Adventurer, Builder",5,"{""Therapist"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""No"", ""Adventurer"": ""No"", ""Builder"": ""Yes""}",2,2,1,Split,Did not proceed (aligned with majority),True,Unsuccessful,3,74.0
DEC-0160,Health,Should I prioritize sleep over my social life?,"Inner Critic, Builder, Chaos Goblin, Adventurer, Dad Voice",5,"{""Inner Critic"": ""No"", ""Builder"": ""No"", ""Chaos Goblin"": ""Abstain"", ""Adventurer"": ""No"", ""Dad Voice"": ""Yes""}",1,3,1,No,Did not proceed (aligned with majority),True,Successful,4,89.0
DEC-0161,Personal Growth,Should I say yes to the scary opportunity?,"Adventurer, Future Self, Inner Critic",3,"{""Adventurer"": ""Yes"", ""Future Self"": ""Abstain"", ""Inner Critic"": ""No""}",1,1,1,Split,Chose compromise,False,Successful,5,18.0
DEC-0162,Lifestyle,Should I invest in the expensive hobby equipment?,"Future Self, Dad Voice, Chaos Goblin, Adventurer",4,"{""Future Self"": ""No"", ""Dad Voice"": ""Abstain"", ""Chaos Goblin"": ""Yes"", ""Adventurer"": ""Yes""}",2,1,1,Yes,Proceeded (aligned with majority),True,Successful,4,66.0
DEC-0163,Health,Should I try therapy or keep managing on my own?,"80-Year-Old You, Therapist, Future Self, Builder, Chaos Goblin",5,"{""80-Year-Old You"": ""Yes"", ""Therapist"": ""No"", ""Future Self"": ""Yes"", ""Builder"": ""Yes"", ""Chaos Goblin"": ""Yes""}",4,1,0,Yes,Delayed decision,False,Mixed,3,22.0
DEC-0164,Finance,Should I buy the new car or keep driving my old one?,"Chaos Goblin, Future Self, 80-Year-Old You",3,"{""Chaos Goblin"": ""No"", ""Future Self"": ""Abstain"", ""80-Year-Old You"": ""Yes""}",1,1,1,Split,Did not proceed (aligned with majority),True,Mixed,3,65.0
DEC-0165,Health,Should I go vegetarian for health reasons?,"Therapist, Builder, Inner Critic, Dad Voice, Spouse/Partner",5,"{""Therapist"": ""No"", ""Builder"": ""Abstain"", ""Inner Critic"": ""No"", ""Dad Voice"": ""No"", ""Spouse/Partner"": ""Yes""}",1,3,1,No,Proceeded anyway,False,Unsuccessful,3,88.0
DEC-0166,Career,Should I tell my boss I'm looking for other opportunities?,"Chaos Goblin, Builder, Future Self",3,"{""Chaos Goblin"": ""Yes"", ""Builder"": ""Yes"", ""Future Self"": ""Yes""}",3,0,0,Yes,Proceeded (aligned with majority),True,Successful,5,81.0
DEC-0167,Health,Should I see a specialist about this recurring issue?,"CFO, Dad Voice, Chaos Goblin, Inner Critic",4,"{""CFO"": ""Yes"", ""Dad Voice"": ""No"", ""Chaos Goblin"": ""No"", ""Inner Critic"": ""No""}",1,3,0,No,Did not proceed (aligned with majority),True,Mixed,3,25.0
DEC-0168,Career,Should I pursue the overseas assignment?,"Inner Critic, Builder, Future Self",3,"{""Inner Critic"": ""Yes"", ""Builder"": ""No"", ""Future Self"": ""Abstain""}",1,1,1,Split,Proceeded anyway,False,Mixed,3,54.0
DEC-0169,Health,Should I switch to a standing desk?,"Future Self, Spouse/Partner, Adventurer",3,"{""Future Self"": ""No"", ""Spouse/Partner"": ""Abstain"", ""Adventurer"": ""No""}",0,2,1,No,Proceeded anyway,False,Mixed,3,10.0
DEC-0170,Lifestyle,Should I adopt a dog even though my schedule is busy?,"Builder, Adventurer, 80-Year-Old You, Chaos Goblin, Future Self",5,"{""Builder"": ""No"", ""Adventurer"": ""Yes"", ""80-Year-Old You"": ""Abstain"", ""Chaos Goblin"": ""Abstain"", ""Future Self"": ""Abstain""}",1,1,3,Split,Chose compromise,False,Successful,5,75.0
DEC-0171,Health,Should I take the medication my doctor prescribed?,"Adventurer, Spouse/Partner, CFO",3,"{""Adventurer"": ""Yes"", ""Spouse/Partner"": ""Abstain"", ""CFO"": ""Yes""}",2,0,1,Yes,Proceeded (aligned with majority),True,Successful,5,53.0
DEC-0172,Career,Should I accept the remote role or stay hybrid?,"Dad Voice, Future Self, Chaos Goblin",3,"{""Dad Voice"": ""No"", ""Future Self"": ""Yes"", ""Chaos Goblin"": ""Yes""}",2,1,0,Yes,Chose alternative path,False,Unsuccessful,2,13.0
DEC-0173,Personal Growth,Should I start the creative project I keep postponing?,"CFO, Adventurer, Chaos Goblin, Inner Critic",4,"{""CFO"": ""Abstain"", ""Adventurer"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Inner Critic"": ""Abstain""}",1,0,3,Yes,Proceeded (aligned with majority),True,Unsuccessful,1,37.0
DEC-0174,Creative,Should I invest in professional equipment or keep bootstrapping?,"Future Self, Therapist, Chaos Goblin, Dad Voice",4,"{""Future Self"": ""Yes"", ""Therapist"": ""No"", ""Chaos Goblin"": ""Yes"", ""Dad Voice"": ""Abstain""}",2,1,1,Yes,Proceeded (aligned with majority),True,Successful,3,37.0
DEC-0175,Finance,Should I max out my 401k or save for a down payment?,"Builder, Chaos Goblin, Therapist, Dad Voice, CFO",5,"{""Builder"": ""Yes"", ""Chaos Goblin"": ""Abstain"", ""Therapist"": ""No"", ""Dad Voice"": ""Abstain"", ""CFO"": ""Yes""}",2,1,2,Yes,Proceeded (aligned with majority),True,Successful,5,68.0
